风速(m/s),风向,室外温度,电网有功功率
5.11,34.03,26.85,0
5.9,37.12,26.9,0
6.58,39.64,26.9,0
6.38,38.86,26.9,0
6.34,35.71,26.91,0
5.83,41.06,26.91,0
5.82,44.13,27,0
5.53,44.78,27,0
5.64,39.14,26.92,0
5.3,38.73,26.9,0
5.09,38.55,26.92,0
5.13,41.88,26.99,0
5.59,46.47,27.07,0
5.65,47.28,27.17,0
5.25,45.8,27.12,0
6.3,46.75,27.1,0
6.06,44.57,27.17,0
5.83,52.4,27.17,0
5.42,49.9,27.2,0
5.64,52.04,27.15,0
5.8,52.11,27.18,0
6.46,46.72,27.14,0
7.23,46.79,27.19,0
7.14,51.66,27.14,0
6.44,51.68,27.15,0
6.74,52.77,27.19,0
6.48,53.52,27.2,0
6.35,52.83,27.26,0
5.96,52.25,27.31,0
5.73,54.5,27.52,0
5.32,53.77,27.89,0
5.03,52.26,28.26,0
5.5,47.34,28.52,0
5.63,46.26,28.61,0
5.73,50.86,28.78,0
5.94,50.69,28.82,0
6.02,49.15,28.9,0
5.04,41.31,29.02,0
6.32,37.17,28.67,0
6.46,40.15,28.73,0
6.47,38.45,28.77,0
7,43.71,28.87,0
6.72,42.35,29.01,0
5.96,38.82,28.5,0
5.72,34.44,28.77,0
6.1,43.35,29.23,0
5.73,46.57,29.55,0
7.95,48.65,28.86,0
7.35,47.03,28.83,0
7.67,53.42,29.27,0
8.43,57.22,29.31,0
8.82,58.03,29.1,0
8.82,57.15,28.62,0
8.95,58.8,28.6,0
10.22,57.49,28.59,0
10.66,56.56,28.84,0
13.38,60.83,28.17,0
13.37,65.23,27.13,0
11.95,65.41,26.91,0
10.04,62.93,27.14,0
9.89,64.56,27.36,0
9.67,72.23,26.94,0
9.26,73.15,27.11,0
7.44,69.96,27.12,0
7.59,69.08,27.31,0
9.14,72.58,27.55,0
11.47,74.32,27.67,0
10.99,75.72,27.93,0
10.39,74.43,28.14,0
10.18,68.77,28.38,0
10.52,69.23,28.54,0
10.25,70.2,28.79,0
9.6,74.69,28.96,0
11.15,74.97,28.88,0
10.68,74.56,29.06,0
11.29,70.82,29.19,0
11.17,71.27,29.22,0
10.45,72.45,29.31,0
11.04,69.42,29.22,0
11.19,69.92,29.22,0
9.84,69.21,29.44,0
9.81,68.88,29.66,0
9.66,69.64,29.7,0
9.41,68.93,29.57,0
10.03,69.16,29.45,0
9.98,68.52,29.38,0
9.25,66.95,29.3,0
8.68,66.71,29.06,0
8.34,66.2,29.27,0
10.32,65.84,29.28,0
11.03,65.73,29.51,0
10.24,64.96,30.86,0
10.03,65.36,31.67,0
10.75,66.24,31.73,0
10.94,66.58,31.61,0
11.2,65.72,31.47,0
11.13,66.27,31.19,0
10.44,66.28,31.13,0
9.96,65.98,31.1,0
9.12,64.82,30.83,0
8.26,65.51,30.72,0
7.99,65.07,30.34,0
7.76,65.99,29.97,0
7.65,64.16,29.67,0
7.22,62.3,28.75,0
7.77,64.27,28.33,0
6.82,62.39,28.11,0
8.68,64.98,28.05,0
7.13,63.53,28.01,0
7.73,59.17,27.98,0
7.84,59.21,27.91,0
8.08,58.89,27.9,0
7.5,57.77,27.9,0
7.79,57.66,27.96,0
8.01,56.55,27.98,0
8.08,55.08,27.91,0
7.12,54.8,27.9,0
7.02,51.38,27.89,0
7.42,52.71,27.87,0
7.63,55.23,27.81,0
7.63,55.77,27.8,0
6.96,53.76,27.77,0
6.99,50.8,27.71,0
6.88,50.87,27.7,0
6.77,53.01,27.7,0
6.77,52.17,27.7,0
7.53,51.52,27.7,0
7.44,50.49,27.69,0
7.86,51.81,27.69,0
7.97,52.82,27.7,0
8.63,53.31,27.67,0
8.67,52.73,27.62,0
8.39,52.08,27.61,0
8.08,53.38,27.6,0
8.07,52.5,27.61,0
7.78,52.3,27.6,0
8.06,52.78,27.56,0
7.97,51.09,27.53,0
8.32,52.12,27.5,0
8.26,54.37,27.5,0
7.9,54.35,27.5,0
7.34,54.02,27.5,0
7.96,53.46,27.48,0
7.04,53.27,27.41,0
7.13,52.32,27.44,0
7.89,51.58,27.48,0
7.87,52,27.49,0
8.42,51.53,27.46,0
8.84,51.84,27.4,0
8.82,51.95,27.4,0
9.15,51.96,27.4,0
8.78,51.96,27.4,0
8.55,51.51,27.41,0
8.89,49.87,27.4,0
8.84,48.72,27.4,0
7.84,47.83,27.38,0
8.28,48.7,27.3,0
8.72,48.55,27.35,0
9.01,51.38,27.38,0
8.63,52.01,27.4,0
9.46,50.25,27.4,0
8.47,50.94,27.4,0
7.49,54.11,27.4,0
7.27,53.13,27.4,0
7.5,52.92,27.42,0
7.78,53.57,27.45,0
8.08,53.99,27.42,0
7.38,52.23,27.42,0
7.81,49.1,27.48,0
7.66,50.55,27.5,0
7.57,46.71,27.5,0
8.91,48.45,27.45,0
8.46,48.79,27.55,0
7.58,46.37,27.73,0
7.85,42.24,27.9,0
8.27,46.47,28.14,0
8.24,47.11,28.13,0
9.02,50.37,28.36,0
9,50.91,28.61,0
8.68,47.43,28.6,0
8.52,48.33,28.7,0
8.53,48.52,28.77,0
8.44,51.09,28.89,0
7.68,51.1,28.94,0
8.18,52.37,28.92,0
8.94,52.18,28.95,0
9.08,54.17,29.08,0
10.11,53.94,29.12,0
9.97,55.05,29.03,0
9.05,55.3,29.06,0
9.38,56.57,29.05,0
9.81,56.2,29.11,0
10.05,56.52,29.22,0
9.17,57.66,29.2,0
8.06,57.52,29.31,0
8.93,57.76,29.25,0
9.52,58,29.27,0
9.2,57.4,29.29,0
8.54,57.62,29.36,0
8.54,56.9,29.33,0
8.78,57.3,29.44,0
9.7,57.83,29.5,0
9.89,57.66,29.57,0
11.34,59,29.52,0
11.17,58.52,29.47,0
10.67,57.18,29.65,0
10.3,57.21,29.59,0
10.03,56.7,29.38,0
10.22,55.61,29.59,0
9.93,57.48,29.74,0
9.95,58.92,29.78,0
10.26,58.43,29.56,0
9.72,58.6,29.65,0
10.18,58.73,29.53,0
9.97,57.2,29.19,0
9.89,57.03,29.37,0
10.17,59.35,29.31,0
10.29,59.44,29.37,0
10.37,59.63,29.34,0
9.38,60.04,29.54,0
10.74,58.48,29.41,0
9.74,58.55,29.52,0
10.6,59.25,29.48,0
11.16,58.99,29.52,0
10.16,59.61,29.51,0
9.64,59.26,29.63,0
8.22,62.39,29.98,0
7.89,63.58,30.14,0
7.88,62.02,30.15,0
8.27,60.15,30.17,0
8.74,59.3,30.12,0
9.58,59.1,30.12,0
8.65,60.29,30.25,0
8.94,65.75,30.37,0
8.38,63.58,30.55,0
7.39,62.34,32.37,0
7.84,62.06,32.72,0
6.98,63.42,33.56,0
7.09,64.71,33.48,0
7.4,65.56,33.11,0
6.9,62.26,32.89,0
7.42,63.44,33.19,0
8.11,65.57,32.35,0
7.12,64.16,31.2,0
7.06,63.67,30.24,0
6.58,63.99,30.37,0
6.18,62.17,29.39,0
6.31,61.59,29.11,0
6.84,59.05,28.85,0
6.97,58.99,28.45,0
8.42,58.12,28.34,0
7.58,59.98,28.29,0
7.14,58.34,28.22,0
6.74,57.37,28.2,0
7.33,58.97,28.26,0
7.83,58.12,28.27,0
7.31,56.4,28.22,0
7.19,53.99,28.2,0
6.93,50.73,28.25,0
7.8,48.88,28.24,0
7.84,44.36,28.2,0
8.49,47.3,28.2,0
7.81,50.17,28.18,0
7.45,50.65,28.2,0
7.5,50.12,28.2,0
8.35,44.2,28.21,0
9.83,48.01,28.18,0
9.86,48.28,28.1,0
9.31,51.85,28.18,0
8.22,53.6,28.19,0
8.36,53.19,28.2,0
8.34,53.49,28.19,0
7.81,54.56,28.2,0
8.1,55.19,28.14,0
7.7,53.12,28.1,0
8.16,53.4,28.1,0
7.41,52.22,28.1,0
7.37,55.25,28.03,0
7.98,55.76,28,0
8.06,56.12,28,0
7.86,57.56,28,0
6.95,55.29,28,0
7.11,55.92,28,0
7.63,55.88,28.01,0
7.39,54.76,28,0
6.76,55.87,28,0
6.73,57.68,27.97,0
7.19,56.57,27.94,0
7.6,57.67,27.91,0
6.76,53.27,27.97,0
6.87,55.3,27.91,0
6.66,59.79,27.92,0
6.12,63.04,27.9,0
6.01,64.03,27.9,0
6.59,63.64,27.83,0
7.26,64.03,27.82,0
6.23,61.78,27.8,0
6.66,62.08,27.8,0
6.29,62.32,27.8,0
6.69,61.87,27.8,0
6.84,64.36,27.79,0
6.97,62.19,27.73,0
6.97,64.43,27.75,0
6.64,61.23,27.7,0
6.74,64.09,27.7,0
6.29,61.72,27.7,0
6.55,60.18,27.7,0
6.29,61.3,27.69,0
6.48,59.73,27.7,0
6.73,62.24,27.72,0
6.65,60.45,27.71,0
7.31,59.33,27.7,0
7.66,60.17,27.69,0
7.83,59.56,27.7,0
6.46,59.66,27.72,0
6.22,60.2,27.79,0
6.68,59.35,27.85,0
6.44,59.99,27.89,0
6.52,60.45,27.95,0
6.99,58.56,28.24,0
6.74,55.68,28.48,0
6.28,56.68,28.64,0
6.03,56.79,28.83,0
6.3,58.2,28.96,0
6.53,56.67,28.96,0
5.83,56.78,29.03,0
6.11,58.81,29.13,0
6.56,57.48,29.13,0
5.5,56.23,29.41,0
5.81,53.63,29.6,0
5.8,56.9,29.52,0
6.31,58.97,29.61,0
5.8,60.3,29.65,0
5.25,64.05,29.65,0
5.83,64.61,28.91,0
6.12,63.32,28.78,0
5.14,60.92,28.74,0
5.66,57.67,28.83,0
7.06,56.08,29.3,0
7.05,57.87,29.41,0
6.7,58.35,29.52,0
5.99,58.38,29.67,0
6.58,60.76,29.81,0
6.98,60.43,29.66,0
6.8,59.49,29,0
7.03,58.55,29.07,0
7.85,57.28,29.23,0
7.95,57.64,29.54,0
8,58.34,29.43,0
7.72,58.42,29.3,0
7.9,55.74,29.44,0
7.92,55.16,29.69,0
8.43,57.32,29.7,0
7.65,58.43,29.81,0
7.82,57.95,29.84,0
7.18,56.61,29.82,0
7.37,55.93,29.78,0
7.38,55.84,29.79,0
7.49,56.59,29.89,0
7.77,57.11,29.81,0
8.45,57.64,29.82,0
8.21,59.92,29.89,0
8.47,58.34,29.75,0
8.26,57.04,29.74,0
8.01,56.64,29.87,0
9.27,58.68,29.74,0
10.18,58.68,29.59,0
9.85,57.18,29.63,0
10.41,58.13,29.55,0
9.93,57.92,29.59,0
9.26,57.81,29.69,0
8.82,55.33,29.81,0
9.25,57.17,29.81,0
9.26,57.46,29.78,0
9.62,57.87,29.72,0
9.19,59.34,29.83,0
8.92,59.22,29.86,0
9.03,59.13,29.99,0
9.04,56.87,30.25,0
8.66,55.38,32.08,0
9,56.47,32.45,0
9.09,56.96,31.69,0
9.76,57.52,32.48,0
8.77,55.19,32.13,0
8.6,54.12,32.49,0
9,54.61,32.69,0
9.14,57.01,32.52,0
9.41,58.91,31.67,0
9.41,59.48,30.87,0
9.85,59.47,30.6,0
9.92,59.58,29.69,0
10.33,59.17,28.89,0
9.98,59.38,28.36,0
9.66,58.35,28.2,0
9.06,58.69,28.13,0
8.67,59.32,28.13,0
8.08,59.66,28.23,0
8.32,60.9,28.32,0
8.24,61.8,28.3,0
8.82,59.48,28.32,0
8.39,60.88,28.3,0
7.95,61.68,28.32,0
6.94,62.34,28.3,0
6.15,65.21,28.3,0
7.21,63.44,28.3,0
6.67,63.46,28.3,0
6.16,63.39,28.29,0
5.66,63.03,28.26,0
5.83,63.55,28.2,0
5.98,63.4,28.2,0
5.34,62.32,28.19,0
6.27,61.93,28.16,0
6.8,63.81,28.2,0
6.93,62.99,28.17,0
6.6,63.16,28.17,0
6.21,62.36,28.1,0
5.84,62.27,28.1,0
6.52,62.15,28.09,0
6.58,60.88,28.06,0
6.61,61.8,28.03,0
6.84,62.36,28.02,0
7.75,63.42,28.02,0
6.78,62.18,28,0
7.38,62.52,28.01,0
7.8,64.03,28.02,0
7.98,62.6,28,0
7.98,63.27,28,0
8.36,63.51,27.98,0
8.87,63.95,27.92,0
10.09,63.81,27.9,0
10.34,64.44,27.9,0
9.66,64.55,27.9,0
10.74,65.57,27.9,0
10.57,64.1,27.9,0
9.74,65.03,27.87,0
11.09,64.95,27.82,0
10.59,64.61,27.81,0
10.64,64.84,27.8,0
10.83,66.04,27.8,0
10.62,66.56,27.8,0
10.38,66.56,27.8,0
9.23,65.81,27.74,0
9.15,66.59,27.75,0
9.37,67.19,27.71,0
9.11,67.12,27.7,0
9.35,66.22,27.7,0
8.14,65.41,27.69,0
8.41,67.74,27.7,0
8.15,67.33,27.7,0
7.53,66.91,27.68,0
7.9,67.02,27.69,0
7.89,65.07,27.64,0
7.97,64.24,27.7,0
8.18,64.48,27.69,0
7.66,62.58,27.7,0
7.89,64.8,27.7,0
7.78,64.75,27.7,0
8.29,65.76,27.7,0
7.96,66.62,27.7,0
7.24,65.07,27.73,0
7.86,66.4,27.72,0
8.39,66.61,27.8,0
7.33,65.47,28.03,0
6.66,64.24,28.46,0
7.16,64.57,28.68,0
7.93,64.35,28.73,0
7.54,64.29,28.81,0
8.13,64.67,28.89,0
8.87,64.86,28.93,0
8.7,65.09,28.93,0
8.49,64.83,28.93,0
7.93,64.91,29.06,0
8.44,65.36,29.19,0
8.02,65.41,29.22,0
8.57,65.1,29.15,0
8.68,65.35,29.21,0
8.73,64.65,29.28,0
8.81,64.35,29.25,0
8.99,64.3,29.31,0
8.16,65.32,29.51,0
8.43,65.76,29.69,0
8.27,72.21,29.52,0
8.46,72.76,29.63,0
7.92,68.84,29.64,0
7.9,69.14,29.73,0
8.12,68.02,29.51,0
7.95,69.9,29.53,0
9.08,71.36,29.59,0
10.16,69.05,29.53,0
10.36,68.9,29.5,0
9.82,67.43,29.46,0
10.04,67.3,29.48,0
10.75,66.6,29.4,0
10.01,67,29.46,0
9.63,66.15,29.49,0
9.86,65.77,29.5,0
10.14,65.97,29.43,0
10.42,66.85,29.41,0
10.31,66.27,29.4,0
10.17,65.81,29.35,0
9.97,65.11,29.38,0
10.11,65.63,29.39,0
9.79,65.23,29.42,0
10.07,64.91,29.38,0
10,65.45,29.34,0
10.09,65.45,29.39,0
9.59,65.22,29.4,0
9.38,64.75,29.4,0
9.98,64.79,29.37,0
10.69,64.95,29.29,0
10.97,64.81,29.29,0
10.9,64.89,29.28,0
10.53,64.33,29.33,0
10.44,64.99,29.38,0
10.95,64.77,29.38,0
11.89,64.46,29.32,0
10.47,64.47,29.4,0
11.58,64.66,29.4,0
11.99,64.75,29.35,0
10.99,64.73,29.43,0
10.25,65.1,29.55,0
11.24,65.26,29.55,0
11.06,64.89,29.91,0
11.13,63.69,31.35,0
11.07,64.08,31.89,0
11.59,62.97,32.03,0
11.36,63.68,32.04,0
11.83,64.09,32.03,0
11.17,63.43,32.01,0
10.79,63.36,31.97,0
10.59,63.06,31.7,0
10.88,63.11,31.54,0
10.4,63.81,31.26,0
10.52,63.07,30.77,0
10.92,62.3,30.24,0
9.91,61.76,29.75,0
9.61,62.49,29.05,0
9.25,62.53,28.44,0
9.63,62.99,28.2,0
10.14,63.61,28.18,0
9.75,64.15,28.11,0
9.61,63.58,28.1,0
8.71,62.25,28.1,0
9.29,63.72,28.1,0
9.46,63.19,28.1,0
9.2,61.5,28.05,0
10.17,60.82,28.02,0
11.29,60.02,28.02,0
11.08,60.25,28.07,0
9.64,61.84,28.05,0
8.55,63.39,28,0
8.37,62.63,28,0
8.6,60.49,28,0
9.06,60.07,28,0
9.38,60.31,28,0
8.31,60.01,27.99,0
8.61,59.18,27.99,0
10.02,60.26,27.99,0
9.72,60.15,27.99,0
9.48,59.9,27.92,0
9.15,60.12,27.91,0
9.71,60.68,27.92,0
9.31,61.07,27.97,0
9.14,62.1,28,0
9.14,63.99,27.93,0
9.92,62.48,27.95,0
10.76,64.91,27.9,0
10.22,64.23,27.9,0
10.55,64.69,27.9,0
10.49,64.94,27.88,0
10.1,63.98,27.89,0
9.91,64.27,27.82,0
9.93,64.26,27.85,0
10.05,65.3,27.8,0
9.74,65.41,27.8,0
8.83,65.21,27.8,0
9.81,66.13,27.74,0
9.8,64.53,27.78,0
10.19,64.69,27.85,0
8.34,63.6,27.78,0
8.06,63.45,27.72,0
8.75,63.88,27.77,0
9.8,65.3,27.75,0
10.56,65.44,27.71,0
10.53,65.43,27.7,0
9.68,64.89,27.7,0
8.84,64.41,27.68,0
8.32,62.81,27.7,0
8.39,63.17,27.7,0
10.03,66.27,27.7,0
10,66.28,27.65,0
8.83,63.87,27.6,0
10.73,66.03,27.66,0
10.16,65.8,27.64,0
9.48,65.7,27.69,0
10.22,66.53,27.62,0
10.41,67.56,27.6,0
9.63,68.42,27.6,0
10.13,68.92,27.61,0
8.29,71.8,27.65,0
8.69,69.74,27.59,0
9.85,67.99,27.63,0
9.38,68.25,27.64,0
8.42,70.16,27.71,0
7.62,70.28,27.79,0
8.36,68.39,27.94,0
8.17,68.57,28.08,0
7.65,68.72,28.27,0
7.65,67.11,28.35,0
7.35,68.58,28.56,0
7.6,68.28,28.66,0
7.39,68.61,28.81,0
8.43,67.71,28.77,0
8.16,69.35,28.89,0
7.91,69.72,29.08,0
7.89,69.1,29.1,0
7.24,67.83,29.21,0
6.84,67.29,29.33,0
6.92,66.22,29.44,0
6.43,65.62,29.5,0
6.67,65.48,29.47,0
7.3,67.17,29.5,0
8.22,67.75,29.47,0
7.78,67.24,29.48,0
7.36,68.12,29.41,0
7.75,67.03,29.51,0
7.59,66.58,29.64,0
7.15,67.23,29.48,0
7.66,67.08,29.59,0
7.3,67.17,29.62,0
7.48,66.04,29.7,0
8.58,67.2,29.57,0
8.11,67.12,29.64,0
8.62,66.73,29.61,0
8,67.73,29.66,0
7.09,66.65,29.74,0
7.12,69.37,29.98,0
7.44,68.59,30.09,0
8.73,67.51,29.83,0
9.16,66.42,29.69,0
8.78,67.05,29.7,0
10.13,66.97,29.64,0
9.83,68.04,29.54,0
9.18,66.81,29.67,0
9.1,66.57,29.77,0
9.01,64.91,29.74,0
8.02,64.91,29.78,0
8.89,65.15,29.72,0
10.73,65.23,29.53,0
10.4,64.8,29.43,0
10.37,64.31,29.35,0
10.49,62.88,29.31,0
11.09,64.24,29.3,0
11.1,64.99,29.31,0
11.35,64.26,29.21,0
12.09,64.31,29.23,0
11.88,64.48,29.16,0
12.18,64.73,29.17,0
12.08,64.72,29.14,0
11.7,64.61,29.29,0
11.72,64.57,29.33,0
11.47,65.27,29.41,0
10.41,64.97,29.49,0
10.11,63.78,29.55,0
9.32,64.5,29.65,0
9.32,64.66,29.72,0
9.46,63.55,30,0
9.69,63.87,31.54,0
9.33,63.03,32.16,0
9.76,60.37,32.23,0
8.8,62.21,32.22,0
8.98,62.23,32.08,0
9.44,62.17,31.76,0
10.59,63.76,31.25,0
9.4,62.55,31.12,0
9.48,62.92,30.92,0
10.34,63.54,30.61,0
9.21,62.31,30.39,0
9.21,61.98,29.9,0
9.25,63.31,29.52,0
9.33,63.02,28.87,0
9.22,63.06,28.42,0
10.36,63.27,28.23,0
10.83,63.71,28.14,0
9.91,63.64,28.1,0
9.66,63.15,28.1,0
10,63.66,28.09,0
10.08,63.66,28.1,0
10.06,63.94,28.1,0
9.89,64.46,28.1,0
9.41,63.7,28.1,0
8.87,63.63,28.1,0
8.83,63.36,28.1,0
8.66,63.13,28.1,0
8.98,62.13,28.09,0
8.72,62.92,28.1,0
8.43,62.29,28.1,0
8.51,62.06,28.01,0
8.28,62.69,28,0
8.21,64.27,28,0
8.42,63.49,27.96,0
8.2,63.19,27.92,0
7.64,62.08,27.9,0
8.33,61.05,27.9,0
7.79,62.98,27.9,0
7.65,63.65,27.9,0
7.11,64.66,27.9,0
8.12,64.55,27.9,0
8.27,65.53,27.9,0
8.08,65.12,27.85,0
8.64,64.92,27.8,0
8.64,65.51,27.8,0
8.75,65.79,27.73,0
8.45,65.92,27.7,0
7.31,65.92,27.7,0
6.71,65.27,27.69,0
7.35,65.77,27.69,0
7,63.75,27.62,0
7.6,65.52,27.61,0
8.45,65.34,27.6,0
7.69,65.67,27.6,0
7.63,65.34,27.63,0
7.56,65.42,27.61,0
8.55,65.93,27.6,0
8.11,65.33,27.59,0
8.74,65.09,27.55,0
8.81,65.04,27.52,0
9.39,65.72,27.52,0
8.28,66.04,27.5,0
8.03,66.96,27.5,0
8.61,65.73,27.5,0
8.38,65.48,27.52,0
7.9,65.05,27.5,0
7.79,65.88,27.49,0
7.47,65.21,27.49,0
7.03,65,27.46,0
7.81,65.97,27.5,0
8.19,65.32,27.5,0
8.79,66.23,27.49,0
8.36,66.7,27.48,0
8.58,67.46,27.45,0
9.08,68.35,27.46,0
8.9,68.67,27.49,0
9.21,66.76,27.47,0
8.82,66.07,27.49,0
8.63,66.97,27.48,0
8.17,66.79,27.49,0
8.64,67.78,27.51,0
9.35,68.04,27.57,0
9.12,68.54,27.7,0
8.42,69.96,27.83,0
7.81,70.14,27.95,0
6.67,71.44,28.16,0
6.36,70.48,28.3,0
7.23,69.69,28.35,0
6.22,71.21,28.62,0
4.97,72.26,28.88,0
4.69,73.66,29.16,0
5.2,70.56,29.23,0
4.91,70.56,29.24,0
4.54,70.37,29.39,0
4.3,69.4,29.63,0
5.15,70.15,29.81,0
5.75,67.77,29.81,0
5.37,66.42,29.88,0
5.27,65.98,30.02,0
5.91,67.19,29.99,0
6.35,65.83,29.88,0
6.4,65.9,29.98,0
5.92,64.93,30.07,0
5.76,63.65,30.08,0
5.88,63.04,30.21,0
5.96,63.57,29.85,0
6.41,63.88,30,0
7.25,65.11,30.01,0
8.16,65.39,29.82,0
9.15,65.34,29.82,0
8.15,66.23,29.98,0
6.33,64.35,30.16,0
8.37,64.93,29.91,0
8.61,65.13,29.68,0
8.99,65.07,29.5,0
7.76,63.45,29.55,0
7.26,62.8,29.66,0
6.82,62.8,29.79,0
6.18,62.59,29.88,0
7.24,63.16,29.95,0
8.53,63.28,29.87,0
9.18,63.36,29.76,0
9.12,64.49,29.72,0
9.72,64.22,29.64,0
9.13,64.33,29.73,0
8.87,62.85,29.77,0
8.89,61.78,29.63,0
9.54,62.27,29.78,0
10.3,63.3,29.72,0
9.94,63.32,29.67,0
11.03,63.52,29.38,0
12.46,63.32,29.35,0
12.18,64.5,29.56,0
11.93,64.68,29.61,0
11.51,64.32,29.56,0
11.14,64.06,29.65,0
10.46,63.71,29.72,0
10.71,61.91,29.72,0
10.99,62.74,29.82,0
10.16,64.28,30.09,0
9.83,63.69,30.44,0
11.19,63.78,30.36,0
11.12,64.51,30.19,0
11.74,64.91,30.34,0
11.07,63.6,30.94,0
11.58,63.11,31.19,0
11.43,64.29,30.41,0
11.94,64.67,30.05,0
11.53,64.27,29.5,0
10.13,63.39,29.4,0
10.73,63.95,29.25,0
10.45,61.15,29.1,0
9.76,61.09,29.1,0
9.86,60.88,28.94,0
10.18,60.34,28.71,0
10.63,59.74,28.57,0
10.63,59.44,28.38,0
10.09,59.98,28.24,0
8.51,62.28,28.3,0
7.89,60.35,28.28,0
8.12,61.06,28.2,0
7.53,61.87,28.21,0
7.77,62.12,28.24,0
7.57,62.2,28.2,0
7.3,62.9,28.23,0
8.36,60.65,28.22,0
8.33,60.88,28.2,0
8.44,60.46,28.19,0
8.86,59.27,28.16,0
8.8,58.38,28.14,0
9.07,59.41,28.2,0
8.79,59.17,28.2,0
8.11,58.09,28.2,0
7.66,57.72,28.2,0
7.6,58.31,28.18,0
8.21,58.47,28.19,0
8.53,59.25,28.16,0
8.83,58.72,28.11,0
8.29,58.47,28.1,0
8.41,56.81,28.1,0
8.9,56.7,28.1,0
8.44,57.72,28.1,0
8.42,58.26,28.1,0
8.33,58.68,28.1,0
8.66,58.41,28.1,0
7.66,60.14,28.09,0
6.97,60.27,28.1,0
6.83,61.37,28.1,0
6.08,61.02,28.1,0
6.51,61.47,28.09,0
6.59,62.19,28.1,0
7.16,61.76,28.1,0
6.92,63.23,28.1,0
6.76,64.09,28.02,0
6.01,63.97,28,0
7.22,63.19,28.01,0
6.31,62.68,28,0
6.64,61.26,27.96,0
7.14,62.47,27.98,0
6.4,62.24,27.96,0
6.63,62.48,27.94,0
6.36,63.27,27.91,0
7.25,64.77,27.91,0
6.91,66.08,27.92,0
7.15,66.55,27.85,0
7.26,67.6,27.83,0
7.63,65.8,27.75,0
7.57,64.2,27.77,0
7.72,64.78,27.79,0
8.81,66.01,27.75,0
8.41,66.73,27.75,0
8.06,67.01,27.72,0
8.85,65.98,27.7,0
7.23,64.5,27.7,0
7.79,65.28,27.72,0
8.2,65.13,27.71,0
8.09,65.71,27.7,0
7.98,66.27,27.7,0
7.65,65.66,27.68,0
7.77,66.47,27.68,0
7.12,65.16,27.69,0
6.54,65.49,27.74,0
6.35,66.6,27.79,0
6.02,65.84,27.8,0
6.42,67.24,27.8,0
6.14,67.83,27.89,0
6.21,66.92,27.88,0
6.69,68.4,27.99,0
6.87,67.82,28.09,0
7.58,68.81,28.21,0
7.29,69.67,28.39,0
6.87,69.11,28.6,0
6.35,68.1,28.6,0
6.29,68.68,28.73,0
6.62,68.92,28.7,0
6.85,68.49,28.71,0
6.37,68.17,28.78,0
6.37,67.62,29.09,0
5.89,66.16,29.35,0
6.36,66.08,29.64,0
5.87,65.04,29.8,0
7.06,66.34,29.86,0
7.99,65.96,29.55,0
8.46,66,29.51,0
8.49,65.81,29.55,0
8.77,65.86,29.52,0
9.07,65.7,29.6,0
9.06,65.68,29.65,0
8.81,65.32,29.72,0
7.96,66.07,29.69,0
8.77,65.51,29.71,0
8.44,65.91,29.7,0
8.34,65.3,29.8,0
8.1,66.72,29.82,0
7.65,64.95,29.94,0
8.8,64.07,29.92,0
9.56,64.3,29.85,0
8.77,64.09,29.94,0
9.67,65.21,29.91,0
8.89,64.16,29.93,0
8.41,64.02,30,0
8.08,62.91,30.07,0
8.42,62.75,30.05,0
9.08,63.51,30.01,0
10.05,64.69,30.04,0
10.24,65.33,29.88,0
10.12,66.32,29.84,0
10.18,68.15,29.96,0
10.41,67.23,30.06,0
8.68,65.4,30.05,0
8.66,64.87,29.94,0
9.94,66.1,30.21,0
9.77,66.42,30.13,0
9.82,68.23,30.27,0
10.28,67.73,29.91,0
10.2,67.57,29.87,0
10.13,72.1,29.9,0
10.09,70.71,30.07,0
10.8,69.57,29.93,0
11.25,70.17,30.04,0
9.73,74.32,29.8,0
9.66,72.37,29.51,0
9.55,67.78,29.3,0
4.96,50.62,28.2,0
5.79,56.02,28.16,0
5.38,57.84,28.16,0
5.78,55.12,28.19,0
5.99,53.4,28.17,0
6.55,53.02,28.12,0
7.71,52.1,28.07,0
7.65,53.6,28.01,0
7.44,54.26,28,0
7.64,57.49,27.99,0
7.94,58.66,27.98,0
8.39,57.93,27.9,0
7.18,60.39,27.91,0
6.89,62.47,27.95,0
7.15,64.42,27.94,0
7.2,64.93,27.94,0
7.69,64.51,27.94,0
6.61,63.49,27.93,0
7.68,71.99,27.91,0
8.65,73.84,27.81,0
8.92,70.99,27.77,0
8.45,72.82,27.74,0
8.88,70.61,27.74,0
10.05,69.86,27.76,0
9.31,69.3,27.87,0
8.32,69,27.84,0
8.3,69.57,27.9,0
8.16,67.71,27.82,0
7.38,65.59,27.86,0
6.88,64.93,27.9,0
7.04,65.24,27.91,0
7.27,65.67,27.84,0
7.84,66.11,27.8,0
7.55,67.66,27.8,0
7.01,68.21,27.8,0
8.17,68.93,27.78,0
7.98,66.5,27.75,0
7.95,66.78,27.73,0
7.69,65.32,27.72,0
8.36,66.4,27.7,0
8.7,65.74,27.71,0
8.55,65.14,27.76,0
8.23,65.99,27.81,0
8.04,66.21,27.89,0
8.06,68.03,27.9,0
8.19,67.93,27.9,0
7.1,73.86,27.97,0
5.75,74.49,28,0
4.63,78.47,28,0
2.24,74.59,28.02,0
9.21,-144.15,25.71,0
18.32,-119.79,24.03,0
20.82,-24.57,22.59,0
21.03,1.27,22.14,0
